seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.9055556058883667,1.0,0.7777777777777778,0,0.05,21.78
Seed 1,0.8111111521720886,0.949999988079071,0.40555555555555556,0,0.05,22.7
Seed 2,0.7944444417953491,0.9000000357627869,0.7111111111111111,0,0.05,33.7
Seed 3,0.8277778029441833,1.0,0.7333333333333333,0,0.05,38.63
Seed 4,0.8388888835906982,0.9000000357627869,0.46111111111111114,0,0.05,39.39
