seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.8611111044883728,1.0,0.12222222222222222,0,0.15,21.09
Seed 1,0.8611111044883728,0.9000000357627869,0.0,0,0.15,24.05
Seed 2,0.8722222447395325,0.800000011920929,0.0,0,0.15,22.57
Seed 3,0.7944444417953491,0.9000000357627869,0.0,0,0.15,25.07
Seed 4,0.8277778029441833,0.75,0.0,0,0.15,26.54
