seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.5166666666666667,0.2,17.98
Seed 1,0.8333333730697632,0.949999988079071,0.35,0.2,18.07
Seed 2,0.8611111044883728,0.9000000357627869,0.29444444444444445,0.2,18.31
Seed 3,0.7833333611488342,0.800000011920929,0.03888888888888889,0.2,18.69
Seed 4,0.8666666746139526,0.800000011920929,0.29444444444444445,0.2,20.0
