seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8833333253860474,1.0,0.8611111111111112,0.1,16.55
Seed 1,0.8555555939674377,0.9000000357627869,0.6166666666666667,0.1,17.06
Seed 2,0.8277778029441833,0.949999988079071,0.7944444444444444,0.1,17.58
Seed 3,0.8833333253860474,1.0,0.8055555555555556,0.1,17.34
Seed 4,0.8555555939674377,0.949999988079071,0.5833333333333334,0.1,17.34
