seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.34444444444444444,0.25,19.95
Seed 1,0.8333333730697632,0.949999988079071,0.016666666666666666,0.25,19.72
Seed 2,0.8611111044883728,0.9000000357627869,0.016666666666666666,0.25,20.1
Seed 3,0.7833333611488342,0.800000011920929,0.0,0.25,20.06
Seed 4,0.8666666746139526,0.800000011920929,0.005555555555555556,0.25,20.63
