seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8833333253860474,1.0,0.28888888888888886,0.25,20.1
Seed 1,0.8555555939674377,0.9000000357627869,0.005555555555555556,0.25,19.53
Seed 2,0.8277778029441833,0.949999988079071,0.03333333333333333,0.25,19.18
Seed 3,0.8833333253860474,1.0,0.35,0.25,19.12
Seed 4,0.8555555939674377,0.949999988079071,0.022222222222222223,0.25,20.17
