seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.862500011920929,0.9750000238418579,1.0,0,0.0,0.71
Seed 1,0.856249988079071,0.824999988079071,1.0,0,0.0,0.57
Seed 2,0.831250011920929,0.875,1.0,0,0.0,0.51
Seed 3,0.875,0.925000011920929,1.0,0,0.0,0.49
Seed 4,0.8500000238418579,0.9000000357627869,1.0,0,0.0,0.46
