node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
0,True,1.0,3.1950256908438237,1.0,1.0,3.5555555555555554,7,20,180,320
1,True,1.0,3.2456723356017645,1.0,1.0,3.5555555555555554,7,20,180,320
2,True,1.0,2.868599625901258,1.0,1.0,3.5555555555555554,7,20,180,320
3,True,1.0,3.0607623398970354,1.0,1.0,3.5555555555555554,7,20,180,320
4,True,1.0,1.7532463138229788,1.0,1.0,3.5555555555555554,7,20,180,320
5,True,1.0,2.2759499791300524,1.0,1.0,3.5555555555555554,7,20,180,320
6,True,1.0,2.5572174211341046,1.0,1.0,3.5555555555555554,7,20,180,320
7,True,1.0,1.8720619407263075,1.0,1.0,3.5555555555555554,7,20,180,320
8,True,1.0,2.8702110200221402,1.0,1.0,3.5555555555555554,7,20,180,320
9,True,1.0,3.175446007299221,1.0,1.0,3.5555555555555554,7,20,180,320
10,True,1.0,3.6778616469742738,1.0,1.0,3.5555555555555554,7,20,180,320
11,True,1.0,2.8753371867788977,1.0,1.0,3.5555555555555554,7,20,180,320
12,True,1.0,1.8077916531444342,1.0,1.0,3.5555555555555554,7,20,180,320
13,True,1.0,2.517402524482218,1.0,1.0,3.5555555555555554,7,20,180,320
14,True,1.0,3.0588083256984224,1.0,1.0,3.5555555555555554,7,20,180,320
15,True,1.0,2.1171593143315897,1.0,1.0,3.5555555555555554,7,20,180,320
16,True,1.0,1.7806475781010789,1.0,1.0,3.5555555555555554,7,20,180,320
17,True,1.0,3.687748845213167,1.0,1.0,3.5555555555555554,7,20,180,320
18,True,1.0,2.4335709126502336,1.0,1.0,3.5555555555555554,7,20,180,320
19,True,1.0,2.119202667473611,1.0,1.0,3.5555555555555554,7,20,180,320
20,True,1.0,2.66112526724325,1.0,1.0,3.5555555555555554,7,20,180,320
21,True,1.0,2.261318993552795,1.0,1.0,3.5555555555555554,7,20,180,320
22,True,1.0,1.972671061624394,1.0,1.0,3.5555555555555554,7,20,180,320
23,True,1.0,2.884443782015841,1.0,1.0,3.5555555555555554,7,20,180,320
24,True,1.0,1.2946304585992314,1.0,1.0,3.5555555555555554,7,20,180,320
25,True,1.0,3.3199803199610565,1.0,1.0,3.5555555555555554,7,20,180,320
26,True,1.0,1.3894683106578025,1.0,1.0,3.5555555555555554,7,20,180,320
27,True,1.0,2.3610506999498773,1.0,1.0,3.5555555555555554,7,20,180,320
