node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
25,True,1.0,3.3199803199610565,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
26,True,1.0,1.3894683106578025,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
27,True,1.0,2.3610506999498773,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
28,True,1.0,1.9689556665002026,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
29,True,1.0,1.9793894518388728,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
30,True,1.0,2.552193760760556,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
31,False,1.0,2.420097905237544,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
32,False,1.0,1.8953963656980677,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
33,True,1.0,1.82769657283461,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
34,False,1.0,2.9279193444909604,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
35,True,1.0,2.5724400087261263,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
36,True,1.0,2.3685206111056303,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
37,True,1.0,2.4362800325647447,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
38,False,0.0,2.3460458516804414,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
39,True,1.0,2.5611891990281275,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
40,True,1.0,3.071052266879446,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
41,False,0.0,3.213511906042745,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
42,True,1.0,3.9812855404709038,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
43,True,1.0,2.3554649694771492,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
44,True,1.0,1.8917225437282619,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
45,False,0.0,2.3992845491819534,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
46,True,1.0,2.8707663509228762,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
47,True,1.0,2.231928667957145,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
48,True,1.0,4.127302194197598,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
49,True,1.0,3.2675904231261406,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
50,False,1.0,2.658725114491741,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
51,True,1.0,1.7260132052122497,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
52,False,0.0,4.268583663668342,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
53,True,1.0,1.0016656531700086,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
54,True,1.0,2.3287103899401065,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
55,True,1.0,4.034783522695922,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
56,True,1.0,2.5831770294455105,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
57,True,1.0,2.4774541081401784,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
58,True,1.0,2.313295950052395,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
59,True,1.0,2.295595850246155,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
60,True,1.0,2.5600752756356173,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
61,False,0.0,1.8275941615207703,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
62,True,1.0,3.4332382964345998,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
63,True,1.0,2.3794167630230527,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
64,True,1.0,3.121409658201992,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
65,True,1.0,3.2168928316292593,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
66,False,1.0,2.1973304469219492,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
67,True,1.0,2.4639984313810017,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
68,False,1.0,3.127442783528265,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
69,True,1.0,2.520214757764623,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
70,True,1.0,4.177321450243284,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
71,False,0.0,3.358265950377481,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
72,True,1.0,2.2375571620928674,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
73,True,1.0,3.460160616593726,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
74,True,1.0,2.1418651906180894,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
75,True,1.0,3.3217986964074586,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
76,True,1.0,3.263895110502975,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
77,True,1.0,4.452239005771589,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
78,True,1.0,2.6677409311785096,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
79,True,1.0,3.2219326374246084,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
80,True,1.0,2.2860959849809035,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
81,False,1.0,3.627375847076897,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
82,True,1.0,3.732765964648568,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
