seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.90625,0.949999988079071,0.6625,0,0.1,13.05
Seed 1,0.84375,0.800000011920929,0.5,0,0.1,58.94
Seed 2,0.824999988079071,0.9000000357627869,0.65,0,0.1,46.45
Seed 3,0.8375000357627869,0.9000000357627869,0.69375,0,0.1,18.14
Seed 4,0.8375000357627869,0.8500000238418579,0.4875,0,0.1,13.67
