seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.90625,0.949999988079071,0.6625,,5.85
Seed 1,0.84375,0.800000011920929,0.5,,42.51
Seed 2,0.824999988079071,0.9000000357627869,0.65,,15.38
Seed 3,0.8375000357627869,0.9000000357627869,0.69375,,9.18
Seed 4,0.8375000357627869,0.8500000238418579,0.4875,,8.26
