delta,seed,dataset,model,error,accuracy_cert_pois_robust,gurobi_node_count
0.152,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,1,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,2,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
