delta,seed,dataset,model,error,accuracy_cert_pois_robust,gurobi_node_count
0.144,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,6,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,7,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,8,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.138,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.14200000000000002,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.144,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.146,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.148,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.15,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.152,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.154,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.156,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,9,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
