seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.0,0,0.25,20.06
Seed 1,0.8388888835906982,0.9000000357627869,0.0,0,0.25,20.91
Seed 2,0.8722222447395325,0.8500000238418579,0.0,0,0.25,21.79
Seed 3,0.8111111521720886,0.8500000238418579,0.0,0,0.25,25.85
Seed 4,0.8611111044883728,0.9000000357627869,0.0,0,0.25,24.38
