seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.7444444444444445,0,0.05,21.15
Seed 1,0.8388888835906982,0.9000000357627869,0.7055555555555556,0,0.05,22.19
Seed 2,0.8722222447395325,0.8500000238418579,0.7388888888888889,0,0.05,23.78
Seed 3,0.8111111521720886,0.8500000238418579,0.5277777777777778,0,0.05,27.95
Seed 4,0.8611111044883728,0.9000000357627869,0.6888888888888889,0,0.05,28.62
