seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,accuracy_cert_pois_unrobust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.1,0,0.15,21.02
Seed 1,0.8388888835906982,0.9000000357627869,0.0,0,0.15,21.63
Seed 2,0.8722222447395325,0.8500000238418579,0.0,0,0.15,22.49
Seed 3,0.8111111521720886,0.8500000238418579,0.0,0,0.15,26.95
Seed 4,0.8611111044883728,0.9000000357627869,0.0,0,0.15,28.23
