node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
0,True,1.0,3.328993576579917,1.0,1.0,3.175,7,40,160,254
1,True,1.0,1.7870269845117581,1.0,1.0,3.175,7,40,160,254
2,True,1.0,3.351284131231155,1.0,1.0,3.175,7,40,160,254
3,True,1.0,2.161751810497737,1.0,1.0,3.175,7,40,160,254
4,True,1.0,2.9578434394777045,1.0,1.0,3.175,7,40,160,254
5,True,1.0,2.9012876180790204,1.0,1.0,3.175,7,40,160,254
6,True,1.0,2.3829331739447386,1.0,1.0,3.175,7,40,160,254
7,True,1.0,3.0308482973202198,1.0,1.0,3.175,7,40,160,254
8,True,1.0,2.475677758776364,1.0,1.0,3.175,7,40,160,254
9,True,1.0,2.952937536649643,1.0,1.0,3.175,7,40,160,254
10,True,1.0,3.4686283279823082,1.0,1.0,3.175,7,40,160,254
11,True,1.0,2.0468071999543245,1.0,1.0,3.175,7,40,160,254
12,True,1.0,4.028199133188538,1.0,1.0,3.175,7,40,160,254
13,True,1.0,3.045135098819119,1.0,1.0,3.175,7,40,160,254
14,True,1.0,2.342132066760312,1.0,1.0,3.175,7,40,160,254
15,True,1.0,4.596629982401856,1.0,1.0,3.175,7,40,160,254
16,True,1.0,3.176674098262083,1.0,1.0,3.175,7,40,160,254
17,True,1.0,2.605901514465803,1.0,1.0,3.175,7,40,160,254
18,True,1.0,2.342974405177801,1.0,1.0,3.175,7,40,160,254
19,True,1.0,3.6531528261945976,1.0,1.0,3.175,7,40,160,254
20,True,1.0,2.989964361647636,1.0,1.0,3.175,7,40,160,254
21,True,1.0,2.7932004092395757,1.0,1.0,3.175,7,40,160,254
22,True,1.0,3.6260019959909155,1.0,1.0,3.175,7,40,160,254
23,True,1.0,2.8499989922266757,1.0,1.0,3.175,7,40,160,254
24,True,1.0,1.8019842996243702,1.0,1.0,3.175,7,40,160,254
25,True,1.0,2.898585364068568,1.0,1.0,3.175,7,40,160,254
26,True,1.0,2.719366971782174,1.0,1.0,3.175,7,40,160,254
27,True,1.0,2.0621864683154536,1.0,1.0,3.175,7,40,160,254
28,True,1.0,2.2496405620535675,1.0,1.0,3.175,7,40,160,254
29,True,1.0,3.729637570540786,1.0,1.0,3.175,7,40,160,254
30,True,1.0,2.1709478806829043,1.0,1.0,3.175,7,40,160,254
