node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
0,True,1.0,3.328993576579917,0.7875,0.8875,3.175,7,40,160,254
1,True,1.0,1.7870269845117581,0.7875,0.8875,3.175,7,40,160,254
2,True,1.0,3.351284131231155,0.7875,0.8875,3.175,7,40,160,254
3,False,1.0,2.161751810497737,0.7875,0.8875,3.175,7,40,160,254
4,True,1.0,2.9578434394777045,0.7875,0.8875,3.175,7,40,160,254
5,True,1.0,2.9012876180790204,0.7875,0.8875,3.175,7,40,160,254
6,True,1.0,2.3829331739447386,0.7875,0.8875,3.175,7,40,160,254
7,True,1.0,3.0308482973202198,0.7875,0.8875,3.175,7,40,160,254
8,False,0.0,2.475677758776364,0.7875,0.8875,3.175,7,40,160,254
9,True,1.0,2.952937536649643,0.7875,0.8875,3.175,7,40,160,254
10,True,1.0,3.4686283279823082,0.7875,0.8875,3.175,7,40,160,254
11,True,1.0,2.0468071999543245,0.7875,0.8875,3.175,7,40,160,254
12,True,1.0,4.028199133188538,0.7875,0.8875,3.175,7,40,160,254
13,True,1.0,3.045135098819119,0.7875,0.8875,3.175,7,40,160,254
14,False,0.0,2.342132066760312,0.7875,0.8875,3.175,7,40,160,254
15,False,1.0,4.596629982401856,0.7875,0.8875,3.175,7,40,160,254
16,True,1.0,3.176674098262083,0.7875,0.8875,3.175,7,40,160,254
17,True,1.0,2.605901514465803,0.7875,0.8875,3.175,7,40,160,254
18,True,1.0,2.342974405177801,0.7875,0.8875,3.175,7,40,160,254
19,True,1.0,3.6531528261945976,0.7875,0.8875,3.175,7,40,160,254
20,True,1.0,2.989964361647636,0.7875,0.8875,3.175,7,40,160,254
21,True,1.0,2.7932004092395757,0.7875,0.8875,3.175,7,40,160,254
22,True,1.0,3.6260019959909155,0.7875,0.8875,3.175,7,40,160,254
23,True,1.0,2.8499989922266757,0.7875,0.8875,3.175,7,40,160,254
24,True,1.0,1.8019842996243702,0.7875,0.8875,3.175,7,40,160,254
25,True,1.0,2.898585364068568,0.7875,0.8875,3.175,7,40,160,254
26,True,1.0,2.719366971782174,0.7875,0.8875,3.175,7,40,160,254
27,True,1.0,2.0621864683154536,0.7875,0.8875,3.175,7,40,160,254
28,True,1.0,2.2496405620535675,0.7875,0.8875,3.175,7,40,160,254
29,True,1.0,3.729637570540786,0.7875,0.8875,3.175,7,40,160,254
30,True,1.0,2.1709478806829043,0.7875,0.8875,3.175,7,40,160,254
31,True,1.0,3.688260727619761,0.7875,0.8875,3.175,7,40,160,254
32,True,1.0,2.369302759530624,0.7875,0.8875,3.175,7,40,160,254
33,True,1.0,3.3206053376886575,0.7875,0.8875,3.175,7,40,160,254
34,False,0.0,2.5727234551686795,0.7875,0.8875,3.175,7,40,160,254
35,True,1.0,3.160083811561702,0.7875,0.8875,3.175,7,40,160,254
36,False,1.0,1.1743145134513797,0.7875,0.8875,3.175,7,40,160,254
37,False,1.0,2.268711979594079,0.7875,0.8875,3.175,7,40,160,254
38,True,1.0,1.026311791023644,0.7875,0.8875,3.175,7,40,160,254
39,True,1.0,3.316038648949862,0.7875,0.8875,3.175,7,40,160,254
40,True,1.0,2.9569363904306556,0.7875,0.8875,3.175,7,40,160,254
41,True,1.0,2.669803970697703,0.7875,0.8875,3.175,7,40,160,254
42,True,1.0,2.3996188907700606,0.7875,0.8875,3.175,7,40,160,254
43,True,1.0,3.990764370343552,0.7875,0.8875,3.175,7,40,160,254
44,True,1.0,2.485961467775666,0.7875,0.8875,3.175,7,40,160,254
45,True,1.0,3.573608654593614,0.7875,0.8875,3.175,7,40,160,254
46,True,1.0,1.9584102582646468,0.7875,0.8875,3.175,7,40,160,254
47,True,1.0,3.5337551451826603,0.7875,0.8875,3.175,7,40,160,254
48,True,1.0,2.888310738018911,0.7875,0.8875,3.175,7,40,160,254
49,False,0.0,3.148231448536266,0.7875,0.8875,3.175,7,40,160,254
50,False,0.0,1.8570947812984364,0.7875,0.8875,3.175,7,40,160,254
51,True,1.0,4.215028950130721,0.7875,0.8875,3.175,7,40,160,254
52,True,1.0,2.155519174973667,0.7875,0.8875,3.175,7,40,160,254
53,True,1.0,2.882086387199514,0.7875,0.8875,3.175,7,40,160,254
54,False,1.0,1.5862428404683981,0.7875,0.8875,3.175,7,40,160,254
55,True,1.0,4.2486948776559395,0.7875,0.8875,3.175,7,40,160,254
56,True,1.0,2.346604269083085,0.7875,0.8875,3.175,7,40,160,254
57,True,1.0,1.9905415465552327,0.7875,0.8875,3.175,7,40,160,254
58,True,1.0,3.1227324215066625,0.7875,0.8875,3.175,7,40,160,254
59,True,1.0,2.2867108001479126,0.7875,0.8875,3.175,7,40,160,254
60,True,1.0,3.413991922114124,0.7875,0.8875,3.175,7,40,160,254
61,False,0.0,2.6275744741116185,0.7875,0.8875,3.175,7,40,160,254
62,True,1.0,1.8810316089288153,0.7875,0.8875,3.175,7,40,160,254
63,True,1.0,3.6005462336959684,0.7875,0.8875,3.175,7,40,160,254
64,True,1.0,2.4002387046795253,0.7875,0.8875,3.175,7,40,160,254
65,False,1.0,2.6470321118937457,0.7875,0.8875,3.175,7,40,160,254
66,True,1.0,3.3803243728750423,0.7875,0.8875,3.175,7,40,160,254
67,True,1.0,2.1969988427106193,0.7875,0.8875,3.175,7,40,160,254
68,True,1.0,3.0231801908274964,0.7875,0.8875,3.175,7,40,160,254
69,True,1.0,2.4412543189306035,0.7875,0.8875,3.175,7,40,160,254
70,True,1.0,1.8506840746005384,0.7875,0.8875,3.175,7,40,160,254
71,True,1.0,3.581846096194348,0.7875,0.8875,3.175,7,40,160,254
72,False,0.0,2.095709095080129,0.7875,0.8875,3.175,7,40,160,254
