seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8833333253860474,1.0,0.3111111111111111,,1.92
Seed 1,0.8555555939674377,0.9000000357627869,0.15,,4.21
Seed 2,0.8277778029441833,0.949999988079071,0.10555555555555556,,1.7
Seed 3,0.8833333253860474,1.0,0.6388888888888888,,10.27
Seed 4,0.8555555939674377,0.949999988079071,0.17222222222222222,,7.34
