seed,accuracy_test,accuracy_trn,accuracy_cert_pois_robust,delta,runtime
Seed 0,0.8388888835906982,1.0,0.6888888888888889,,2.86
Seed 1,0.8333333730697632,0.949999988079071,0.45555555555555555,,4.51
Seed 2,0.8611111044883728,0.9000000357627869,0.48333333333333334,,4.34
Seed 3,0.7833333611488342,0.800000011920929,0.16666666666666666,,0.96
Seed 4,0.8666666746139526,0.800000011920929,0.49444444444444446,,3.11
